ID,latitude,longitude,address,state,town,pinno,verified
10004,19.0508048,72.9042676, atur park basant garden chembur mumbai  400071,maharashtra,mumbai,400071,Y
10006,19.0829897,72.906953,tilak road opp bikaji ghatkopare 400077,maharashtra,mumbai,400077,Y
10010,19.1114996,72.9279308,station road vikhroliwest station road 400083,maharashtra,mumbai,400083,Y
10011,19.0932824,72.912599,oppshreyas cinema lbsmarg ghatkoparw 400082,maharashtra,mumbai,400082,Y
10014,19.0701489,72.8782098,nr bhaji mandi kurlaw  400070,maharashtra,mumbai,400070,Y
10015,19.0682454,72.8749835,suleman khatri building  299f kurla west  kurla 400070,maharashtra,mumbai,400070,Y
10016,19.0458033,72.9024433,shop no 03 vikas commercial centre chembur east near basant cinema 400074,maharashtra,mumbai,400074,Y
10018,19.1020474,72.8846254,shop no30dipak center safed pul saki naka mumbai 400072,maharashtra,mumbai,400072,Y
10020,19.0620093,72.9010123,navketan building n g aacharya marg chembur east  400071,maharashtra,mumbai,400071,Y
10022,19.0393616,72.9475798,chita camp mankhurd east 400088,maharashtra,mumbai,400088,Y
10032,19.0819424,72.9070523,tilak road ghatkopare  400089,maharashtra,mumbai,400089,Y
10033,19.0543206,72.8899094,sarala terrace vn purav marg swastik park chembur mumbai  400071,maharashtra,mumbai,400071,Y
10034,19.0917599,72.8825901,shop no 18 rajesingh chawl jarimari mata mandir opp t2 beacon hotel 400072,maharashtra,mumbai,400072,Y
10038,19.0745219,72.883487,new mill road kurlaw  400042,maharashtra,mumbai,400042,Y
10039,19.0752861,72.9053657,vikrant circle ghatkopare  400975,maharashtra,mumbai,400975,Y
10042,19.0934413,72.9037215,nr pasayadan hospital r b kadam road wagadwalabhatwadi ghatkopar west mumbai 400086,maharashtra,mumbai,400086,Y
10047,19.0390818,72.9466259,4 mg ramachandran marg cheeta camp sector f trombay mumbai 400088,maharashtra,mumbai,400088,Y
10048,19.1149934,72.8938581,chandivali farm rd powai mumbai mumbai 400072,maharashtra,mumbai,400072,Y
10049,19.0830324,72.8852184,lal bahadur shastri marg premier roadkurla west  400070,maharashtra,mumbai,400070,Y
10050,19.1006423,72.9113156,b28 sagar park rd amrut nagar ghatkopar west mumbai maharashtra 400086,maharashtra,mumbai,400086,Y
10051,19.0854688,72.9083264,in  out store aziz baug vashi naka  chembur mumbai74 400074,maharashtra,mumbai,400074,Y
10054,19.11122,72.9276033,gandhi nagar vikhroli west  400083,maharashtra,mumbai,400083,Y
10058,19.1219967,72.8898383, shop no 5 shanti complex  shivshakti nagar tunga  village pawai 400072,maharashtra,mumbai,400072,Y
10065,19.1351276,72.8999754,dargah rd kailash nagar mayur nagar passpoli goregaon 400087,maharashtra,mumbai,400087,Y
10067,19.0674478,72.8939814,shop number 1 plot number 66 opp india bank tailak nagr mumbai 400089,maharashtra,mumbai,400089,Y
10073,19.1027988,72.8990711,gala no4kharani estate khara road  400072,maharashtra,mumbai,400072,Y
10074,19.0619076,72.8834325,shop no b1112 nehru nagar c kurla east kurla east mumbai 400024,maharashtra,mumbai,400024,Y
10076,19.076335,72.8808317,new mill road kurla  400042,maharashtra,mumbai,400042,Y
10078,19.0688326,72.8817632,shop no 1 vinoba bhave nagar ai block chawl no 6 pipe r kurla w mumbai  400070 400070,maharashtra,mumbai,400070,Y
10080,19.1233399,72.8923599,shop no 12 zahoor palace opp l t saki vihar road  powal 400072,maharashtra,mumbai,400072,Y
10081,19.0701866,72.8965545, near hanuman mandir chembur west tilak nagar kurla mumbai 400089,maharashtra,mumbai,400089,Y
10083,19.0608577,72.8983488,31 dk sandu marg chembur gaothan chembur  400071,maharashtra,mumbai,400071,Y
10085,19.1094875,72.8876827,shop no1 saki vihar rd opp naka post officebudhia  jadhav wadi marolandheri e 400072,maharashtra,mumbai,400072,Y
10086,19.0379731,72.8949343,2vqw748 ramakrishna chemburkar marg wadavali village azad nagar chembur 400074,maharashtra,mumbai,400074,Y
10087,19.0752304,72.9038704,mukteshwari building near satyam shopping center rb mehta road ghatkopar eas 400077,maharashtra,mumbai,400077,Y
10088,19.1143914,72.8976678,chandivali farm rd powai mumbai  400072,maharashtra,mumbai,400072,Y
10090,19.0696378,72.8790031,sg barve marg kurla west   400070,maharashtra,mumbai,400070,Y
10092,19.0889967,72.8884884,sunder baug indira nagar kamani kurlaw west 400070,maharashtra,mumbai,400070,Y
10095,19.1676055,72.944666,a14 saidham chs pk road mulund west mumbai 400080,maharashtra,mumbai,400080,Y
10102,19.110735,72.9276625,neer station rd godrej  boyce industry estate vikhroli west mumbai 400083,maharashtra,mumbai,400083,Y
10104,19.1031243,72.8884246,b7 super market ag link sakinaka mumbai   400072,maharashtra,mumbai,400072,Y
10105,19.1003175,72.9181986,r city mall lbs marg ghatkopar west  400086,maharashtra,mumbai,400086,Y
10106,19.1017833,72.8900864,shop no 5 link road lokmanya tilak nagar saki naka  400072,maharashtra,mumbai,400072,Y
10109,19.0627383,72.9209317,shivaji nagar   400043,maharashtra,mumbai,400043,Y
10110,19.0534714,72.8770774,chunabhatti vn purav marg samarth nagar  sion mumbai 400022,maharashtra,mumbai,400022,Y
10111,19.0920751,72.8830447,shop no 5 jarimari kurla west kurla 400070,maharashtra,mumbai,400070,Y
10113,19.1146242,72.8890909,chandivali chandivali chandivali 400069,maharashtra,mumbai,400069,Y
10114,19.0532246,72.8911473,stroad chembure  400078,maharashtra,mumbai,400078,Y
